district,worker_count
อำเภอไชยา,8
อำเภอท้ายเหมือง,8
อำเภอสระโบสถ์,8
อำเภอพระแสง,8
อำเภอตะกั่วทุ่ง,8
อำเภอพนม,7
อำเภอป่าพะยอม,7
อำเภออ่าวลึก,7
อำเภอรัษฎา,7
อำเภอคลองใหญ่,7
อำเภอนายายอาม,7
อำเภอมะขาม,7
อำเภอกะเปอร์,7
อำเภอจุฬาภรณ์,7
อำเภอหาดสำราญ,7
อำเภอพิปูน,6
อำเภอหนองหญ้าปล้อง,6
อำเภอลำทับ,6
อำเภอพรหมคีรี,6
อำเภอละอุ่น,6
