destination_country,travel_method,worker_count
แอลเบเนีย,RE-ENTRY,3
แอลเบเนีย,VISA RE-ENTRY,1
สกอตแลนด์,RE-ENTRY,3
สกอตแลนด์,VISA RE-ENTRY,1
สกอตแลนด์,เดินทางด้วยตนเอง,1
ปากีสถาน,RE-ENTRY,2
ปากีสถาน,VISA RE-ENTRY,2
เกาหลีเหนือ,RE-ENTRY,4
เกาหลีเหนือ,RE-ENTRY,2
เกาหลีเหนือ,VISA RE-ENTRY,2
มาซิโดเนียเหนือ,VISA RE-ENTRY,2
มาซิโดเนียเหนือ,RE-ENTRY,1
ลิทัวเนีย,VISA RE-ENTRY,2
ลิทัวเนีย,RE-ENTRY,1
มองโกเลีย,เดินทางด้วยตนเอง,2
มองโกเลีย,RE-ENTRY,1
มอริเชียส,เดินทางด้วยตนเอง,2
ไอล์ออฟแมน,VISA RE-ENTRY,1
ไอล์ออฟแมน,RE-ENTRY,1
เอลซัลวาดอร์,เดินทางด้วยตนเอง,2
รวันดา,RE-ENTRY,2
ฟิจิ,RE-ENTRY,2
จิบูติ,เดินทางด้วยตนเอง,2
หมู่เกาะเวอร์จินของสหรัฐฯ,RE-ENTRY,1
หมู่เกาะเวอร์จินของสหรัฐฯ,VISA RE-ENTRY,1
นิวแคลิโดเนีย,เดินทางด้วยตนเอง,1
ตองกา,RE-ENTRY,1
ตองกา,VISA RE-ENTRY,1
ตองกา,เดินทางด้วยตนเอง,1
โดมินิกัน,เดินทางด้วยตนเอง,1
ยูกันดา,เดินทางด้วยตนเอง,1
ยูกันดา,VISA RE-ENTRY,1
สวีเดน,เดินทางด้วยตนเอง,1299
สวีเดน,กรมจัดส่ง,827
สวีเดน,RE-ENTRY,776
สวีเดน,VISA RE-ENTRY,655
สวีเดน,บริษัทจัดส่ง,53
สวีเดน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,3
สวีเดน,บริษัทจัดส่ง,2108
สวีเดน,VISA RE-ENTRY,823
สวีเดน,RE-ENTRY,297
สวีเดน,เดินทางด้วยตนเอง,110
สวีเดน,เดินทางด้วยตนเอง,2698
สวีเดน,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,247
สวีเดน,RE-ENTRY,17
สวีเดน,VISA RE-ENTRY,14
ฟินแลนด์,เดินทางด้วยตนเอง,1678
ฟินแลนด์,VISA RE-ENTRY,838
ฟินแลนด์,RE-ENTRY,206
ฟินแลนด์,กรมจัดส่ง,38
ฟินแลนด์,บริษัทจัดหางานคนประจำเรือ,32
ฟินแลนด์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,9
ฟินแลนด์,บริษัทจัดส่ง,1
ฟินแลนด์,เดินทางด้วยตนเอง,2698
ฟินแลนด์,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,247
ฟินแลนด์,RE-ENTRY,17
ฟินแลนด์,VISA RE-ENTRY,14
ยูเออี,เดินทางด้วยตนเอง,1905
ยูเออี,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,115
ยูเออี,VISA RE-ENTRY,59
ยูเออี,RE-ENTRY,35
ยูเออี,บริษัทจัดส่ง,6
สหรัฐอเมริกา,RE-ENTRY,685
สหรัฐอเมริกา,VISA RE-ENTRY,564
สหรัฐอเมริกา,เดินทางด้วยตนเอง,461
สหรัฐอเมริกา,บริษัทจัดส่ง,46
สหรัฐอเมริกา,กรมจัดส่ง,5
สหรัฐอเมริกา,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
ลาว,RE-ENTRY,685
ลาว,VISA RE-ENTRY,564
ลาว,เดินทางด้วยตนเอง,461
ลาว,บริษัทจัดส่ง,46
ลาว,กรมจัดส่ง,5
ลาว,นายจ้างพาลูกจ้างไปทำงานในต่างประเทศ,1
