destination_country,province,worker_count
เช็ก,อุตรดิตถ์,7
เช็ก,สุโขทัย,7
เช็ก,มหาสารคาม,7
เช็ก,พิจิตร,7
เช็ก,หนองบัวลำภู,7
เช็ก,เลย,6
เช็ก,ลพบุรี,6
เช็ก,นครพนม,6
เช็ก,ฉะเชิงเทรา,6
เช็ก,สมุทรสาคร,5
เช็ก,น่าน,5
เช็ก,นครปฐม,5
เช็ก,สระแก้ว,5
เช็ก,ตาก,4
เช็ก,ตราด,4
เช็ก,ลำพูน,4
เช็ก,ยโสธร,4
เช็ก,ประจวบคีรีขันธ์,3
เช็ก,นครศรีธรรมราช,3
เช็ก,สระบุรี,3
เช็ก,สุพรรณบุรี,3
เช็ก,กาญจนบุรี,3
เช็ก,อำนาจเจริญ,3
เช็ก,สงขลา,3
เช็ก,พัทลุง,2
เช็ก,กระบี่,2
เช็ก,ชัยนาท,2
เช็ก,อ่างทอง,2
เช็ก,ตรัง,2
เช็ก,กำแพงเพชร,2
เช็ก,ราชบุรี,2
เช็ก,มุกดาหาร,2
เช็ก,เพชรบุรี,2
เช็ก,สิงห์บุรี,1
เช็ก,แม่ฮ่องสอน,1
เช็ก,ปราจีนบุรี,1
เช็ก,นครนายก,1
เช็ก,พังงา,1
เช็ก,จันทบุรี,1
อินโดนีเซีย,อุดรธานี,49
อินโดนีเซีย,กรุงเทพมหานคร,42
อินโดนีเซีย,นครราชสีมา,37
อินโดนีเซีย,หนองบัวลำภู,33
อินโดนีเซีย,หนองคาย,26
อินโดนีเซีย,ขอนแก่น,24
อินโดนีเซีย,บุรีรัมย์,23
อินโดนีเซีย,ลำปาง,23
อินโดนีเซีย,ชัยภูมิ,23
อินโดนีเซีย,สกลนคร,22
อินโดนีเซีย,สุรินทร์,16
อินโดนีเซีย,เชียงราย,15
อินโดนีเซีย,ร้อยเอ็ด,14
อินโดนีเซีย,อุบลราชธานี,13
อินโดนีเซีย,ศรีสะเกษ,13
อินโดนีเซีย,มหาสารคาม,12
อินโดนีเซีย,พิษณุโลก,11
อินโดนีเซีย,สุโขทัย,10
อินโดนีเซีย,สงขลา,10
อินโดนีเซีย,ยโสธร,9
อินโดนีเซีย,อำนาจเจริญ,9
อินโดนีเซีย,เชียงใหม่,8
อินโดนีเซีย,นนทบุรี,8
อินโดนีเซีย,บึงกาฬ,8
อินโดนีเซีย,กาฬสินธุ์,8
อินโดนีเซีย,ปทุมธานี,8
อินโดนีเซีย,พิจิตร,8
อินโดนีเซีย,ชลบุรี,8
อินโดนีเซีย,ลพบุรี,7
อินโดนีเซีย,กำแพงเพชร,7
อินโดนีเซีย,นครปฐม,6
อินโดนีเซีย,ราชบุรี,6
อินโดนีเซีย,สมุทรปราการ,6
อินโดนีเซีย,ตาก,6
อินโดนีเซีย,เพชรบูรณ์,6
อินโดนีเซีย,อุตรดิตถ์,5
อินโดนีเซีย,ระยอง,5
อินโดนีเซีย,ปราจีนบุรี,5
อินโดนีเซีย,สระบุรี,4
อินโดนีเซีย,ภูเก็ต,4
อินโดนีเซีย,กาญจนบุรี,4
อินโดนีเซีย,นครสวรรค์,4
อินโดนีเซีย,พระนครศรีอยุธยา,3
อินโดนีเซีย,อุทัยธานี,3
อินโดนีเซีย,มุกดาหาร,3
อินโดนีเซีย,สระแก้ว,3
อินโดนีเซีย,พะเยา,3
อินโดนีเซีย,นครนายก,3
อินโดนีเซีย,แพร่,3
อินโดนีเซีย,เพชรบุรี,3
อินโดนีเซีย,เลย,2
อินโดนีเซีย,สิงห์บุรี,2
อินโดนีเซีย,จันทบุรี,2
อินโดนีเซีย,นครศรีธรรมราช,2
อินโดนีเซีย,สมุทรสาคร,2
อินโดนีเซีย,สุพรรณบุรี,2
อินโดนีเซีย,ประจวบคีรีขันธ์,2
อินโดนีเซีย,สุราษฎร์ธานี,2
อินโดนีเซีย,ตราด,1
อินโดนีเซีย,ชุมพร,1
อินโดนีเซีย,พัทลุง,1
อินโดนีเซีย,ฉะเชิงเทรา,1
อินโดนีเซีย,นราธิวาส,1
อินโดนีเซีย,เชียงใหม่,39
อินโดนีเซีย,กรุงเทพมหานคร,39
อินโดนีเซีย,ชัยภูมิ,33
อินโดนีเซีย,นครราชสีมา,32
อินโดนีเซีย,อุดรธานี,30
อินโดนีเซีย,สกลนคร,23
อินโดนีเซีย,หนองคาย,22
อินโดนีเซีย,เชียงราย,20
อินโดนีเซีย,ขอนแก่น,19
อินโดนีเซีย,อุบลราชธานี,19
อินโดนีเซีย,บุรีรัมย์,19
อินโดนีเซีย,ปทุมธานี,16
อินโดนีเซีย,สมุทรปราการ,15
